GRUPO OBJETAL;DESCRIPCION;VALOR EN RD;AÑO
2;GASTOS;0;2022
2.1;REMUNERACIONES Y CONTRIBUCIONES;0;2022
2.1.1;REMUNERACIONES;0;2022
2.1.1.1.01;SUELDOS FIJOS; 64,349,878.00 ;2022
2.1.1.2.01;SUELDOS PERSONAL IGUALADO; 1,200,000.00 ;2022
2.1.1.2.08;PERSONAL DE CARÁCTER TEMPORAL; 14,112,000.00 ;2022
2.1.1.2.10;SUELDOS PERSONAL TEMPORAL EN CARGO DE CARRERA; 120,000.00 ;2022
2.1.1.3.01;SUELDO PERSONAL TRAMITE DE PENSION; 547,986.00 ;2022
2.1.1.4.01;SUELDO ANUAL NO. 13; 6,694,156.00 ;2022
2.1.1.5.03;PRESTACION LABBORAL POR DESVINCULACION; 100,000.00 ;2022
2.1.1.5.04;PROPORCION VACACIONES NO DISFRUTADAS; 100,000.00 ;2022
2.2.2;SOBRESUELDOS;0;2022
2.1.2.2.03.;PAGO DE HORAS EXTRAORDINARIAS; 3,020,000.00 ;2022
2.1.2.2.05;COMPENSACION SERVICIOS DE SEGURIDAD; 384,394.00 ;2022
2.1.3;DIETAS Y GASTOS DE REPRESENTACIÓN;0;2022
2.1.3.2.01;GASTOS DE REPRESENTACION EN EL PAIS; 432,000.00 ;2022
2.1.5;CONTRIBUCIONES A LA SEGURIDAD SOCIAL;0;2022
2.1.5.1.01;CONTRIBUCIONES AL SEGURO DE SALUD; 5,695,924.00 ;2022
2.1.5.2.01;CONTRIBUCIONES AL SEGURO DE PENSIONES; 5,703,421.00 ;2022
2.1.5.3.01;CONTRIBUCIONES AL SEGURO DE RIESGO LABORAL; 923,794.00 ;2022
2.2;CONTRATACIÓN DE SERVICIOS;0;2022
2.2.1;SERVICIOS BÁSICOS;0;2022
2.2.1.3.01;TELEFONO LOCAL; 1,200,000.00 ;2022
2.2.1.5.01;SERVICIO DE INTERNET Y TELEVISIÓN POR CABLE;0;2022
2.2.1.6.01;ENERGIA ELECTRICA; 10,600,000.00 ;2022
2.2.1.7.01;AGUA; 194,000.00 ;2022
2.2.1.8.01;RECOLECCIÓN DE RESIDUOS; 50,000.00 ;2022
2.2.2;PUBLICIDAD, IMPRESIÓN Y ENCUADERNACIÓN;0;2022
2.2.2.1.01;PUBLICIDAD Y PROPAGANDA; 150,000.00 ;2022
2.2.2.2.01;IMPRESIÓN Y ENCUADERNACION; 230,000.00 ;2022
2.2.3;VIATICOS;0;2022
2.2.3.1.01;VIATICOS DENTRO DEL PAIS; 50,000.00 ;2022
2.2.3.2.01;VIATICOS FUERA DEL PAIS; 50,000.00 ;2022
2.2.4;TRANSPORTE Y ALMACENAJE;0;2022
2.2.4.1.01;PASAJES Y GASTOS DE TRANSPORTE; 50,000.00 ;2022
2.2.5;ALQUILERES Y RENTAS DE EDIFICIOS Y LOCALES; -   ;2022
2.2.6;SEGUROS;0;2022
2.2.6.2.01;SEGUROS DE BIENES MUEBLES; 550,000.00 ;2022
2.2.6.3.01;SEGUROS DE PERSONAS; 760,000.00 ;2022
2.2.7;SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES;0;2022
2.2.7.2.06;MANTENIMIENTO Y REPARACION DE EQUIPOS DE TRANSPORTE, TRACCION Y ELEVACION; 1,000,000.00 ;2022
2.2.7.2.07;MANTENIMIENTO Y EQUIPO DE PLANTA;0;2022
2.2.7.2.08;SERVICIOS DE MANTENIMIENTO, REPARACION, DESMONTE E INSTALACION; 1,700,000.00 ;2022
2.2.8;OTROS SERVICIOS NO INCLUIDOS EN CONCEPTOS ANTERIORES;0;2022
2.2.8.1.01;GASTOS JUDICIALES;0;2022
2.2.8.2.01;COMISIONES Y GASTOS BANCARIOS;0;2022
2.2.8.5.01;FUMIGACION; 100,000.00 ;2022
2.2.8.5.03;LIMPIEZA E HIGIENE; 150,000.00 ;2022
2.2.8.6.02;FESTIVIDADES;0;2022
2.2.8.7.04;SERVICIOS DE CAPACITACION;0;2022
2.2.8.7.05;SERVICIOS DE INFORMATICA Y SISTEMAS COMPUTARIZADOS; 500,000.00 ;2022
2.2.8.7.06;OTROS SERVICIOS TECNICOS PROFESIONALES; 2,100,000.00 ;2022
2.2.9;OTRAS CONTRATACIONES DE SERVICIOS;0;2022
2.2.9.2.01;SERVICIOS DE ALIMENTACION; 6,550,000.00 ;2022
2.3;MATERIALES Y SUMINISTROS;0;2022
