Tipo de delito,Cantidad de casos,Nacionadalidad,Sexo de las víctimas	,Provincia,Mes,Año
robo,19,dominicano(a),m,azua,enero,2025
robo,1,puertoriqueño(a),m,azua,enero,2025
robo,8,dominicano(a),f,azua,enero,2025
robo,16,dominicano(a),m,bahoruco,enero,2025
robo,1,haitiano(a),m,bahoruco,enero,2025
robo,6,dominicano(a),f,bahoruco,enero,2025
robo,15,dominicano(a),m,barahona,enero,2025
robo,15,dominicano(a),f,barahona,enero,2025
robo,1,dominicano(a),m,dajabon,enero,2025
robo,2,dominicano(a),f,dajabon,enero,2025
robo,1,aleman(a),f,distrito nacional,enero,2025
robo,1,argentino(a),m,distrito nacional,enero,2025
robo,1,canadiense,m,distrito nacional,enero,2025
robo,2,chino(a),m,distrito nacional,enero,2025
robo,1,colombiano(a),m,distrito nacional,enero,2025
robo,1,costarricense,m,distrito nacional,enero,2025
robo,1,cubano(a),m,distrito nacional,enero,2025
robo,529,dominicano(a),m,distrito nacional,enero,2025
robo,328,dominicano(a),f,distrito nacional,enero,2025
robo,1,ecuatoriano(a),m,distrito nacional,enero,2025
robo,1,eslovaco(a),f,distrito nacional,enero,2025
robo,2,español(a),m,distrito nacional,enero,2025
robo,1,español(a),f,distrito nacional,enero,2025
robo,1,estadounidense,m,distrito nacional,enero,2025
robo,1,estadounidense,f,distrito nacional,enero,2025
robo,8,haitiano(a),m,distrito nacional,enero,2025
robo,9,haitiano(a),f,distrito nacional,enero,2025
robo,3,italiano(a),m,distrito nacional,enero,2025
robo,3,norte americano(a),m,distrito nacional,enero,2025
robo,2,puertorriqueño(a),m,distrito nacional,enero,2025
robo,1,puertorriqueño(a),f,distrito nacional,enero,2025
robo,1,ruso(a),f,distrito nacional,enero,2025
robo,1,turco(a),m,distrito nacional,enero,2025
robo,2,venezolano(a),m,distrito nacional,enero,2025
robo,3,venezolano(a),f,distrito nacional,enero,2025
robo,49,dominicano(a),m,duarte,enero,2025
robo,53,dominicano(a),f,duarte,enero,2025
robo,1,italiano(a),m,duarte,enero,2025
robo,31,dominicano(a),m,el seibo,enero,2025
robo,17,dominicano(a),f,el seibo,enero,2025
robo,2,haitiano(a),m,el seibo,enero,2025
robo,1,haitiano(a),f,el seibo,enero,2025
robo,1,dominicano(a),m,elias piña,enero,2025
robo,25,dominicano(a),m,espaillat,enero,2025
robo,17,dominicano(a),f,espaillat,enero,2025
robo,1,haitiano(a),m,espaillat,enero,2025
robo,17,diminicano(a),m,hato mayor,enero,2025
robo,7,diminicano(a),f,hato mayor,enero,2025
robo,3,diminicano(a),m,hermanas mirabal,enero,2025
robo,5,diminicano(a),f,hermanas mirabal,enero,2025
robo,1,diminicano(a),m,independencia,enero,2025
robo,2,diminicano(a),f,independencia,enero,2025
robo,2,argentino(a),m,la altagracia,enero,2025
robo,2,argentino(a),f,la altagracia,enero,2025
robo,1,canadiense,m,la altagracia,enero,2025
robo,1,checo(a),m,la altagracia,enero,2025
robo,1,chileno(a),f,la altagracia,enero,2025
robo,1,colombiano(a),f,la altagracia,enero,2025
robo,109,dominicano(a),m,la altagracia,enero,2025
robo,69,dominicano(a),f,la altagracia,enero,2025
robo,1,estadounidense,f,la altagracia,enero,2025
robo,4,haitiano(a),m,la altagracia,enero,2025
robo,1,haitiano(a),f,la altagracia,enero,2025
robo,1,hungaro(a),m,la altagracia,enero,2025
robo,1,italiano(a),m,la altagracia,enero,2025
robo,1,italiano(a),f,la altagracia,enero,2025
robo,1,panameño(a),m,la altagracia,enero,2025
robo,1,salvadoreño(a),m,la altagracia,enero,2025
robo,1,venezolano(a),m,la altagracia,enero,2025
robo,2,venezolano(a),f,la altagracia,enero,2025
robo,1,colombiano(a),m,la romana,enero,2025
robo,166,dominicano(a),m,la romana,enero,2025
robo,90,dominicano(a),f,la romana,enero,2025
robo,1,frances(a),m,la romana,enero,2025
robo,6,haitiano(a),m,la romana,enero,2025
robo,3,haitiano(a),f,la romana,enero,2025
robo,15,dominicano(a),m,la vega,enero,2025
robo,17,dominicano(a),f,la vega,enero,2025
robo,1,haitiano(a),m,la vega,enero,2025
robo,1,norte americano(a),m,la vega,enero,2025
robo,18,dominicano(a),m,maria trinidad sanchez,enero,2025
robo,10,dominicano(a),f,maria trinidad sanchez,enero,2025
robo,1,haitiano(a),m,maria trinidad sanchez,enero,2025
robo,27,dominicano(a),m,monseñor nouel,enero,2025
robo,13,dominicano(a),f,monseñor nouel,enero,2025
robo,1,dominicano(a),m,monte cristi,enero,2025
robo,1,dominicano(a),f,monte cristi,enero,2025
robo,17,dominicano(a),m,monte plata,enero,2025
robo,4,dominicano(a),f,monte plata,enero,2025
robo,1,venezolano(a),m,monte plata,enero,2025
robo,1,dominicano(a),m,pedernales,enero,2025
robo,1,italiano(a),m,pedernales,enero,2025
robo,20,dominicano(a),m,peravia,enero,2025
robo,15,dominicano(a),f,peravia,enero,2025
robo,2,haitiano(a),m,peravia,enero,2025
robo,1,panameño(a),m,peravia,enero,2025
robo,4,aleman(a),m,puerto plata,enero,2025
robo,2,canadiense,m,puerto plata,enero,2025
robo,40,dominicano(a),m,puerto plata,enero,2025
robo,29,dominicano(a),f,puerto plata,enero,2025
robo,2,español(a),m,puerto plata,enero,2025
robo,1,estadounidense,m,puerto plata,enero,2025
robo,1,haitiano(a),m,puerto plata,enero,2025
robo,1,haitiano(a),f,puerto plata,enero,2025
robo,1,italiano(a),m,puerto plata,enero,2025
robo,1,marroqui,m,puerto plata,enero,2025
robo,2,norte americano(a),m,puerto plata,enero,2025
robo,2,aleman(a),f,samana,enero,2025
robo,3,canadiense,m,samana,enero,2025
robo,14,dominicano(a),m,samana,enero,2025
robo,13,dominicano(a),f,samana,enero,2025
robo,1,estadounidense,m,samana,enero,2025
