Tipo de delito,Cantidad de casos,Nacionadalidad,Sexo de las víctimas	,Provincia,Mes,Año
Robo,19,Dominicano(a),M,Azua,Enero,2025
Robo,1,Puertoriqueño(a),M,Azua,Enero,2025
Robo,8,Dominicano(a),F,Azua,Enero,2025
Robo,16,Dominicano(a),M,Bahoruco,Enero,2025
Robo,1,Haitiano(a),M,Bahoruco,Enero,2025
Robo,6,Dominicano(a),F,Bahoruco,Enero,2025
Robo,15,Dominicano(a),M,Barahona,Enero,2025
Robo,15,Dominicano(a),F,Barahona,Enero,2025
Robo,1,Dominicano(a),M,Dajabon,Enero,2025
Robo,2,Dominicano(a),F,Dajabon,Enero,2025
Robo,1,Aleman(a),F,Distrito Nacional,Enero,2025
Robo,1,Argentino(a),M,Distrito Nacional,Enero,2025
Robo,1,Canadiense,M,Distrito Nacional,Enero,2025
Robo,2,Chino(a),M,Distrito Nacional,Enero,2025
Robo,1,Colombiano(a),M,Distrito Nacional,Enero,2025
Robo,1,Costarricense,M,Distrito Nacional,Enero,2025
Robo,1,Cubano(a),M,Distrito Nacional,Enero,2025
Robo,529,Dominicano(a),M,Distrito Nacional,Enero,2025
Robo,328,Dominicano(a),F,Distrito Nacional,Enero,2025
Robo,1,Ecuatoriano(a),M,Distrito Nacional,Enero,2025
Robo,1,Eslovaco(a),F,Distrito Nacional,Enero,2025
Robo,2,Español(a),M,Distrito Nacional,Enero,2025
Robo,1,Español(a),F,Distrito Nacional,Enero,2025
Robo,1,Estadounidense,M,Distrito Nacional,Enero,2025
Robo,1,Estadounidense,F,Distrito Nacional,Enero,2025
Robo,8,Haitiano(a),M,Distrito Nacional,Enero,2025
Robo,9,Haitiano(a),F,Distrito Nacional,Enero,2025
Robo,3,Italiano(a),M,Distrito Nacional,Enero,2025
Robo,3,Norte Americano(a),M,Distrito Nacional,Enero,2025
Robo,2,Puertorriqueño(a),M,Distrito Nacional,Enero,2025
Robo,1,Puertorriqueño(a),F,Distrito Nacional,Enero,2025
Robo,1,Ruso(a),F,Distrito Nacional,Enero,2025
Robo,1,Turco(a),M,Distrito Nacional,Enero,2025
Robo,2,Venezolano(a),M,Distrito Nacional,Enero,2025
Robo,3,Venezolano(a),F,Distrito Nacional,Enero,2025
Robo,49,Dominicano(a),M,Duarte,Enero,2025
Robo,53,Dominicano(a),F,Duarte,Enero,2025
Robo,1,Italiano(a),M,Duarte,Enero,2025
Robo,31,Dominicano(a),M,El Seibo,Enero,2025
Robo,17,Dominicano(a),F,El Seibo,Enero,2025
Robo,2,Haitiano(a),M,El Seibo,Enero,2025
Robo,1,Haitiano(a),F,El Seibo,Enero,2025
Robo,1,Dominicano(a),M,Elias Piña,Enero,2025
Robo,25,Dominicano(a),M,Espaillat,Enero,2025
Robo,17,Dominicano(a),F,Espaillat,Enero,2025
Robo,1,Haitiano(a),M,Espaillat,Enero,2025
Robo,17,Diminicano(a),M,Hato Mayor,Enero,2025
Robo,7,Diminicano(a),F,Hato Mayor,Enero,2025
Robo,3,Diminicano(a),M,Hermanas Mirabal,Enero,2025
Robo,5,Diminicano(a),F,Hermanas Mirabal,Enero,2025
Robo,1,Diminicano(a),M,Independencia,Enero,2025
Robo,2,Diminicano(a),F,Independencia,Enero,2025
Robo,2,Argentino(a),M,La Altagracia,Enero,2025
Robo,2,Argentino(a),F,La Altagracia,Enero,2025
Robo,1,Canadiense,M,La Altagracia,Enero,2025
Robo,1,Checo(a),M,La Altagracia,Enero,2025
Robo,1,Chileno(a),F,La Altagracia,Enero,2025
Robo,1,Colombiano(a),F,La Altagracia,Enero,2025
Robo,109,Dominicano(a),M,La Altagracia,Enero,2025
Robo,69,Dominicano(a),F,La Altagracia,Enero,2025
Robo,1,Estadounidense,F,La Altagracia,Enero,2025
Robo,4,Haitiano(a),M,La Altagracia,Enero,2025
Robo,1,Haitiano(a),F,La Altagracia,Enero,2025
Robo,1,Hungaro(a),M,La Altagracia,Enero,2025
Robo,1,Italiano(a),M,La Altagracia,Enero,2025
Robo,1,Italiano(a),F,La Altagracia,Enero,2025
Robo,1,Panameño(a),M,La Altagracia,Enero,2025
Robo,1,Salvadoreño(a),M,La Altagracia,Enero,2025
Robo,1,Venezolano(a),M,La Altagracia,Enero,2025
Robo,2,Venezolano(a),F,La Altagracia,Enero,2025
Robo,1,Colombiano(a),M,La Romana,Enero,2025
Robo,166,Dominicano(a),M,La Romana,Enero,2025
Robo,90,Dominicano(a),F,La Romana,Enero,2025
Robo,1,Frances(a),M,La Romana,Enero,2025
Robo,6,Haitiano(a),M,La Romana,Enero,2025
Robo,3,Haitiano(a),F,La Romana,Enero,2025
Robo,15,Dominicano(a),M,La Vega,Enero,2025
Robo,17,Dominicano(a),F,La Vega,Enero,2025
Robo,1,Haitiano(a),M,La Vega,Enero,2025
Robo,1,Norte Americano(a),M,La Vega,Enero,2025
Robo,18,Dominicano(a),M,Maria Trinidad Sanchez,Enero,2025
Robo,10,Dominicano(a),F,Maria Trinidad Sanchez,Enero,2025
Robo,1,Haitiano(a),M,Maria Trinidad Sanchez,Enero,2025
Robo,27,Dominicano(a),M,Monseñor Nouel,Enero,2025
Robo,13,Dominicano(a),F,Monseñor Nouel,Enero,2025
Robo,1,Dominicano(a),M,Monte Cristi,Enero,2025
Robo,1,Dominicano(a),F,Monte Cristi,Enero,2025
Robo,17,Dominicano(a),M,Monte Plata,Enero,2025
Robo,4,Dominicano(a),F,Monte Plata,Enero,2025
Robo,1,Venezolano(a),M,Monte Plata,Enero,2025
Robo,1,Dominicano(a),M,Pedernales,Enero,2025
Robo,1,Italiano(a),M,Pedernales,Enero,2025
Robo,20,Dominicano(a),M,Peravia,Enero,2025
Robo,15,Dominicano(a),F,Peravia,Enero,2025
